Entity,Code,Year,Fossil Fuels (TWh)
Africa,,1965,658.9407960411041
Africa,,1966,690.502006012274
Africa,,1967,694.6708476806781
Africa,,1968,727.5965090211861
Africa,,1969,737.67147624782
Africa,,1970,794.684489635972
Africa,,1971,874.4587403997659
Africa,,1972,921.6090531199861
Africa,,1973,999.903877978018
Africa,,1974,1040.194517154948
Africa,,1975,1101.143845636594
Africa,,1976,1204.2656414672979
Africa,,1977,1261.0377274404862
Africa,,1978,1313.3402056713244
Africa,,1979,1443.222226243524
Africa,,1980,1563.34735623244
Africa,,1981,1750.6686266448921
Africa,,1982,1878.450722759376
Africa,,1983,1946.6696542789223
Africa,,1984,2005.43979601722
Africa,,1985,2070.7415540919183
Africa,,1986,2108.4749003896823
Africa,,1987,2191.5944204963566
Africa,,1988,2336.99157098065
Africa,,1989,2335.638186009054
Africa,,1990,2422.8255371477685
Africa,,1991,2409.136911196876
Africa,,1992,2460.5096714617184
Africa,,1993,2478.9495289913707
Africa,,1994,2548.2416958139484
Africa,,1995,2648.04142537589
Africa,,1996,2715.206388552262
Africa,,1997,2764.4195326449685
Africa,,1998,2799.4636426246784
Africa,,1999,2882.2959327793465
Africa,,2000,2940.74132064673
Africa,,2001,3057.224549388794
Africa,,2002,3080.47648521255
Africa,,2003,3244.700508536108
Africa,,2004,3482.0638295377244
Africa,,2005,3510.716781348956
Africa,,2006,3572.4777710354865
Africa,,2007,3700.7084086199143
Africa,,2008,3946.457817441506
Africa,,2009,4015.733109528362
Africa,,2010,4133.236716864506
Africa,,2011,4142.953842693756
Africa,,2012,4298.266368332566
Africa,,2013,4400.578392404343
Africa,,2014,4522.26097197255
Africa,,2015,4590.455074027788
Africa,,2016,4714.357946205562
Africa,,2017,4803.136483339446
Africa,,2018,4954.635401760706
Africa,,2019,5043.2339473617085
Algeria,DZA,1965,23.649870864326
Algeria,DZA,1966,28.782818304014
Algeria,DZA,1967,27.035062739144003
Algeria,DZA,1968,28.680224333050003
Algeria,DZA,1969,32.471743477374005
Algeria,DZA,1970,35.04387386841
Algeria,DZA,1971,38.75707128341
Algeria,DZA,1972,43.184173713978
Algeria,DZA,1973,51.027063321618
Algeria,DZA,1974,57.439356784782
Algeria,DZA,1975,69.39984301983
Algeria,DZA,1976,80.951907261474
Algeria,DZA,1977,89.41724514485
Algeria,DZA,1978,112.622314820002
Algeria,DZA,1979,147.67984536600403
Algeria,DZA,1980,176.38314110640002
Algeria,DZA,1981,214.10409406091603
Algeria,DZA,1982,246.69591513435202
Algeria,DZA,1983,270.271987328528
Algeria,DZA,1984,258.85984347659803
Algeria,DZA,1985,260.386571364646
Algeria,DZA,1986,276.75152556771
Algeria,DZA,1987,283.6927908429401
Algeria,DZA,1988,304.88094251567
Algeria,DZA,1989,296.400228231104
Algeria,DZA,1990,314.57478749296206
Algeria,DZA,1991,311.22893509406003
Algeria,DZA,1992,319.638701266312
Algeria,DZA,1993,296.95140422760005
Algeria,DZA,1994,301.43048697753
Algeria,DZA,1995,312.57438283708404
Algeria,DZA,1996,309.52578734265404
Algeria,DZA,1997,297.638217554828
Algeria,DZA,1998,307.713484226146
Algeria,DZA,1999,310.83415450045806
Algeria,DZA,2000,299.78620705099604
Algeria,DZA,2001,310.61050737709604
Algeria,DZA,2002,321.78441214954603
Algeria,DZA,2003,336.153854478424
Algeria,DZA,2004,349.0547870213841
Algeria,DZA,2005,364.68177174518405
Algeria,DZA,2006,378.60118371403803
Algeria,DZA,2007,399.00104003391004
Algeria,DZA,2008,422.762019598234
Algeria,DZA,2009,447.90459276783207
Algeria,DZA,2010,436.926754541124
Algeria,DZA,2011,463.39589877197795
Algeria,DZA,2012,506.53238300336005
Algeria,DZA,2013,536.62947930324
Algeria,DZA,2014,584.925640717916
Algeria,DZA,2015,616.920766869552
Algeria,DZA,2016,615.973902223172
Algeria,DZA,2017,622.064473206736
Algeria,DZA,2018,670.256823982808
Algeria,DZA,2019,703.1175405491381
Argentina,ARG,1965,309.82859091823
Argentina,ARG,1966,320.19407643283404
Argentina,ARG,1967,329.72673711451205
Argentina,ARG,1968,340.62636000086997
Argentina,ARG,1969,352.909281216088
Argentina,ARG,1970,332.4271662192981
Argentina,ARG,1971,353.455709708786
Argentina,ARG,1972,359.933259613044
Argentina,ARG,1973,371.5224994399841
Argentina,ARG,1974,379.5545953101
Argentina,ARG,1975,364.97649892541006
Argentina,ARG,1976,386.41884746816396
Argentina,ARG,1977,405.13897272202996
Argentina,ARG,1978,404.718801274782
Argentina,ARG,1979,423.44114986376
Argentina,ARG,1980,411.53249450350995
Argentina,ARG,1981,394.980745984344
Argentina,ARG,1982,400.122676486774
Argentina,ARG,1983,413.770202404786
Argentina,ARG,1984,405.564058339876
Argentina,ARG,1985,388.80085187376596
Argentina,ARG,1986,435.9326404125
Argentina,ARG,1987,454.562778094376
Argentina,ARG,1988,482.441500119558
Argentina,ARG,1989,468.25180460114404
Argentina,ARG,1990,443.02982609024406
Argentina,ARG,1991,452.215209827434
Argentina,ARG,1992,483.46896344152805
Argentina,ARG,1993,489.1105979548321
Argentina,ARG,1994,486.13565807488203
Argentina,ARG,1995,511.79349804558206
Argentina,ARG,1996,560.37469691051
Argentina,ARG,1997,535.4084441597461
Argentina,ARG,1998,562.2394103467241
Argentina,ARG,1999,564.152435488254
Argentina,ARG,2000,572.4570199096942
Argentina,ARG,2001,541.6218374637899
Argentina,ARG,2002,513.8359232906321
Argentina,ARG,2003,563.0287073670501
Argentina,ARG,2004,610.258842095572
Argentina,ARG,2005,651.1390025774521
Argentina,ARG,2006,676.3895113889541
Argentina,ARG,2007,730.2418397485601
Argentina,ARG,2008,746.3590690312221
Argentina,ARG,2009,718.798265593708
Argentina,ARG,2010,760.640328789554
Argentina,ARG,2011,779.7704004824881
Argentina,ARG,2012,810.042735811448
Argentina,ARG,2013,839.4062951356101
Argentina,ARG,2014,834.514770944616
Argentina,ARG,2015,849.6307969263162
Argentina,ARG,2016,853.662775707452
Argentina,ARG,2017,845.4209230028641
Argentina,ARG,2018,835.063884995018
Argentina,ARG,2019,810.58207624292
Australia,AUS,1965,383.175043206456
Australia,AUS,1966,423.47607961392606
Australia,AUS,1967,449.67742640832006
Australia,AUS,1968,477.284389049428
Australia,AUS,1969,495.852798348588
Australia,AUS,1970,539.1942721884061
Australia,AUS,1971,563.941139763662
Australia,AUS,1972,591.038646719428
Australia,AUS,1973,631.9483708360699
Australia,AUS,1974,669.507133660834
Australia,AUS,1975,678.3166993195921
Australia,AUS,1976,705.6909339967401
Australia,AUS,1977,744.5503464731339
Australia,AUS,1978,760.9011164981841
Australia,AUS,1979,793.7250499795321
Australia,AUS,1980,801.615505736336
Australia,AUS,1981,807.4272506635061
Australia,AUS,1982,809.6388418772221
Australia,AUS,1983,813.4547357632681
Australia,AUS,1984,847.6868514822721
Australia,AUS,1985,852.1650289536999
Australia,AUS,1986,882.0992056788001
Australia,AUS,1987,907.8611643439061
Australia,AUS,1988,949.185689625722
Australia,AUS,1989,997.0093559401801
Australia,AUS,1990,1014.048886794016
Australia,AUS,1991,1004.9123105958721
Australia,AUS,1992,1014.88315079476
Australia,AUS,1993,1043.8689137055742
Australia,AUS,1994,1087.9735695448262
Australia,AUS,1995,1119.144790315116
Australia,AUS,1996,1147.239758346628
Australia,AUS,1997,1177.298967671754
Australia,AUS,1998,1206.0108125856561
Australia,AUS,1999,1259.2582410168982
Australia,AUS,2000,1264.79340766725
Australia,AUS,2001,1277.953124028348
Australia,AUS,2002,1296.044650168224
Australia,AUS,2003,1314.6823778561723
Australia,AUS,2004,1358.44646870075
Australia,AUS,2005,1349.632856372088
Australia,AUS,2006,1432.9387057944919
Australia,AUS,2007,1451.874589554298
Australia,AUS,2008,1475.1710626359059
Australia,AUS,2009,1455.7236620779981
Australia,AUS,2010,1450.1893482061062
Australia,AUS,2011,1482.66355418545
Australia,AUS,2012,1466.9979938752342
Australia,AUS,2013,1466.68728307111
Australia,AUS,2014,1497.662003128644
Australia,AUS,2015,1515.9370055264121
Australia,AUS,2016,1516.3385344587462
Australia,AUS,2017,1518.532813991946
Australia,AUS,2018,1526.4008886197341
Australia,AUS,2019,1627.9116428838283
Austria,AUT,1965,141.94113494170603
Austria,AUT,1966,147.07760655088003
Austria,AUT,1967,148.03081592455803
Austria,AUT,1968,160.46885004164403
Austria,AUT,1969,172.49168743768402
Austria,AUT,1970,191.19596823443
Austria,AUT,1971,203.34744656671603
Austria,AUT,1972,210.70668412076802
Austria,AUT,1973,224.70891226698603
Austria,AUT,1974,215.80259930860802
Austria,AUT,1975,210.70160106114602
Austria,AUT,1976,230.081627398488
Austria,AUT,1977,217.90733043683602
Austria,AUT,1978,230.440342129904
Austria,AUT,1979,239.135429641524
Austria,AUT,1980,234.79633533691802
Austria,AUT,1981,220.305159855098
Austria,AUT,1982,209.96177963595602
Austria,AUT,1983,209.992845216364
Austria,AUT,1984,218.074916959794
Austria,AUT,1985,221.79270604513403
Austria,AUT,1986,220.94224092031803
Austria,AUT,1987,226.485748966232
Austria,AUT,1988,221.397066839734
Austria,AUT,1989,223.71025980139802
Austria,AUT,1990,238.765882956998
Austria,AUT,1991,255.09210351796403
Austria,AUT,1992,239.167959945326
Austria,AUT,1993,239.694195088536
Austria,AUT,1994,240.949892204204
Austria,AUT,1995,251.92582487383203
Austria,AUT,1996,261.67551184024205
Austria,AUT,1997,263.393373492308
